icao_code;iata_code;gps_code;Lat;Long
LPCH;CHV;LPCH;41,722356;-7,463064
LPCO;CBP;LPCO;40,158758;-8,470815
LPCR;CVU;LPCR;39,671501;-31,1136
LPCS;CAT;LPCS;38,724998;-9,35523
LPFL;FLW;LPFL;39,45529938;-31,13139915
LPFR;FAO;LPFR;37,01440048;-7,965909958
LPGR;GRW;LPGR;39,09220123;-28,02980042
LPHR;HOR;LPHR;38,51990128;-28,71590042
LPLA;TER;LPLA;38,761799;-27,090799
LPMA;FNC;LPMA;32,697899;-16,7745
;QLR;LPMR;39,828335;-8,8875
LPPD;PDL;LPPD;37,74119949;-25,69790077
LPPI;PIX;LPPI;38,554298;-28,441299
LPPM;PRM;LPPM;37,1493;-8,58396
LPPR;OPO;LPPR;41,24810028;-8,681389809
LPPS;PXO;LPPS;33,07339859;-16,35000038
LPPT;LIS;LPPT;38,7813;-9,13592
LPSJ;SJZ;LPSJ;38,665501;-28,1758
LPVR;VRL;LPVR;41,2743;-7,72047
LPVZ;VSE;LPVZ;40,725498;-7,88899
LQBK;BNX;LQBK;44,941399;17,297501
LQMO;OMO;LQMO;43,28290176;17,84589958
LQSA;SJJ;LQSA;43,8246;18,331499
LQTZ;TZL;LQTZ;44,458698;18,7248
LRAR;ARW;LRAR;46,176601;21,261999
LRBC;BCM;LRBC;46,5219;26,910299
LRBM;BAY;LRBM;47,658444;23,464445
LRBS;BBU;LRBS;44,503201;26,1021
LRBV;GHV;LRBV;45,70558;25,522871
LRCK;CND;LRCK;44,362202;28,4883
LRCL;CLJ;LRCL;46,787425;23,684292
LRCS;CSB;LRCS;45,420142;22,252507
LRCV;CRA;LRCV;44,3181;23,888599
LRIA;IAS;LRIA;47,180278;27,620833
LROD;OMR;LROD;47,02529907;21,90250015
LROP;OTP;LROP;44,572127;26,103396
LRSB;SBZ;LRSB;45,785841;24,086666
LRSM;SUJ;LRSM;47,7033;22,8857
LRSV;SCV;LRSV;47,6875;26,35409927
LRTC;TCE;LRTC;45,0625;28,7143
LRTM;TGM;LRTM;46,467701;24,4125
LRTR;TSR;LRTR;45,809898;21,3379
LSGG;GVA;LSGG;46,238098;6,10895
LSGS;SIR;LSGS;46,219166;7,326944
LSME;EML;LSME;47,092444;8,305184
LSMP;VIP;LSMP;46,8432;6,91506
LSZA;LUG;LSZA;46,004299;8,91058
LSZB;BRN;LSZB;46,912868;7,498512
LSZC;BXO;LSZC;46,974444;8,396944
LSZH;ZRH;LSZH;47,458056;8,548056
LSZR;ACH;LSZR;47,485001;9,56077
LSZS;SMV;LSZS;46,5341;9,88411
LTBU;TEQ;LTBU;41,13819885;27,91909981
LTFM;IST;LTFM;41,261297;28,741951
LUBL;BZY;LUBL;47,837666;27,781108
LUKK;RMO;LUKK;46,9277;28,931
LWOH;OHD;LWOH;41,18;20,7423
LWSK;SKP;LWSK;41,958087;21,622581
LXGB;GIB;LXGB;36,151199;-5,34966
LYBE;BEG;LYBE;44,818401;20,309099
LYBR;IVG;LYBR;42,8390007;19,86199951
LYBT;BJY;LYBT;44,935299;20,2575
LYKV;KVO;LYKV;43,817519;20,586662
LYNI;INI;LYNI;43,337009;21,85451
LYPG;TGD;LYPG;42,359402;19,2519
LYTV;TIV;LYTV;42,40470123;18,72330093
LYUZ;UZC;LYUZ;43,898899;19,697701
LZIB;BTS;LZIB;48,1702;17,2127
LZKZ;KSC;LZKZ;48,663101;21,2411
LZLU;LUE;LZLU;48,339401;19,7358
LZPP;PZY;LZPP;48,62519836;17,82839966
LZPW;POV;LZPW;49,02970123;21,31559944
LZSL;SLD;LZSL;48,63779831;19,13409996
LZTT;TAT;LZTT;49,073601;20,2411
LZZI;ILZ;LZZI;49,233292;18,613386
;NOI;;44,962905;37,999071
;KVK;ULMK;67,462851;33,585294
;TYA;;54,239;37,6
;LNX;;54,824;32,025
;EIK;;46,68;38,21
;MXR;UKBM;49,932;33,641
;KHU;UKHK;49,136799;33,477893
;KCP;UKLK;48,695631;26,609471
UEBS;SUK;UEBS;67,792;130,394
UEBT;UKG;UEBT;70,011002;135,645004
UECT;TLK;UECT;59,876389;111,044444
UEMH;KDY;UEMH;62,78900146;136,8549957
UEMU;UMS;UEMU;60,35699844;134,4349976
UERO;ONK;UERO;68,514999;112,480003
UERS;SYS;UERS;71,927902;114,080002
UHMD;PVS;UHMD;64,37809753;-173,2429962
;ETL;UHTQ;46,541704;138,321703
;EDN;UHWE;47,178201;138,657357
;NEI;UHWT;45,0825;136,5912
UIAA;HTA;UIAA;52,026299;113,306
UIII;IKT;UIII;52,268002;104,389
UIUU;UUD;UIUU;51,808614;107,439652
UKBB;KBP;UKBB;50,345001;30,894699
UKCK;KRQ;UKCK;48,706799;37,630922
UKCM;MPW;UKCM;47,0760994;37,44960022
UKDB;ERD;UKDB;46,814999;36,758099
UKDD;DNK;UKDD;48,357201;35,100601
UKDE;OZH;UKDE;47,86700058;35,31570053
UKDR;KWG;UKDR;48,04330063;33,20999908
UKFB;UKS;UKFB;44,691822;33,57462
UKFF;SIP;UKFF;45,0522;33,975101
UKFK;KHC;UKFK;45,372501;36,401402
UKHH;HRK;UKHH;49,926943;36,290814
UKHP;PLV;UKHP;49,5686;34,397202
UKHS;UMY;UKHS;50,858299;34,762501
UKKE;CKC;UKKE;49,4156;31,9953
UKKG;KGO;UKKG;48,542801;32,285
UKKK;IEV;UKKK;50,40194;30,45194
UKKV;ZTR;UKKV;50,270556;28,738611
UKLC;UCK;UKLC;50,678404;25,487165
